 ,Random, ,Greedy, ,AGEU, 
Caso,Valor,Tiempo(ms),Valor,Tiempo(ms),Valor,Tiempo(s)
./data/jeu_100_100_10.txt,137243,85136,191578,2011.36,193262,5.00004
./data/jeu_100_100_1.txt,21204,62997,81760,1306.24,81961,5.00006
./data/jeu_100_100_2.txt,166800,105.25,189255,2275.43,190257,5.00002
./data/jeu_100_100_3.txt,209961,95892,225434,1494.81,225434,5.00006
./data/jeu_100_100_5.txt,209599,95752,229660,1534.69,230009,5.00004
./data/jeu_100_100_6.txt,27898,61321,74074,2063.95,74168,5.00003
./data/jeu_100_100_7.txt,3004,50495,10108,483022,10153,5.00004
./data/jeu_100_100_8.txt,19197,22489,62251,420095,62484,5.00002
./data/jeu_100_100_9.txt,215584,36108,231357,673898,232754,5.00005
./data/jeu_100_25_10.txt,14216,77175,24748,1727.24,24836,5.00005
./data/jeu_100_25_1.txt,3577,57619,18481,1011.79,18369,5.00005
./data/jeu_100_25_2.txt,53135,97847,56474,2005.91,56525,5.00005
./data/jeu_100_25_3.txt,531,50705,3535,695898,3702,5.00004
./data/jeu_100_25_4.txt,40906,86813,49840,1943.82,50151,5.00005
./data/jeu_100_25_5.txt,57346,103784,61494,1792.83,61494,5.00003
./data/jeu_100_25_6.txt,24940,74241,36009,1755.88,36159,5.00004
./data/jeu_100_25_7.txt,4752,58457,14282,1188,14657,5.00003
./data/jeu_100_25_8.txt,3916,56711,20083,1133.73,20307,5.00002
./data/jeu_100_25_9.txt,24453,75638,35169,1763.35,35333,5.00002
./data/jeu_100_50_10.txt,71887,30591,88111,655.53,88519,5.00004
./data/jeu_100_50_1.txt,55712,28635,82737,626476,83742,5.00004
./data/jeu_100_50_2.txt,91499,90025,104389,1982.59,104781,5.00006
./data/jeu_100_50_3.txt,8520,58177,33095,1382.72,33856,5.00003
./data/jeu_100_50_4.txt,90143,77105,105876,1654.54,105879,5.00005
./data/jeu_100_50_5.txt,30353,68585,56388,1409.82,56452,5.00006
./data/jeu_100_50_6.txt,3842,55244,16021,861982,16080,5.00006
./data/jeu_100_50_7.txt,20705,79.13,52646,1834.94,52487,5.00001
./data/jeu_100_50_8.txt,20205,24724,53790,535125,54246,5.00003
./data/jeu_100_50_9.txt,36424,72565,68693,2047.61,68480,5.00006
./data/jeu_100_75_10.txt,117227,31498,142984,648617,143740,5.00002
./data/jeu_100_75_1.txt,187896,105.81,188521,2088.19,188657,5.00005
./data/jeu_100_75_2.txt,45820,67955,93658,1732.9,94955,5.00006
./data/jeu_100_75_3.txt,21565,22838,62046,473385,61066,5.00003
./data/jeu_100_75_4.txt,29029,64117,71226,1426.65,72007,5.00006
./data/jeu_100_75_5.txt,5214,57203,27233,825564,27616,5.00005
./data/jeu_100_75_6.txt,112610,68657,144663,2012.85,144921,5.00003
./data/jeu_100_75_7.txt,85637,79972,110267,1495.65,110937,5.00006
./data/jeu_100_75_8.txt,5960,58111,19412,880671,19419,5.00002
./data/jeu_100_75_9.txt,62878,27658,102663,604015,104204,5.00004
./data/jeu_200_100_10.txt,152375,39882,376316,3668.37,378442,30.0001
./data/jeu_200_100_1.txt,882249,232302,935700,4882.12,936862,30.0002
./data/jeu_200_100_2.txt,86704,32477,301759,3303.42,303007,30.0001
./data/jeu_200_100_3.txt,1467,62.93,28867,2154.13,29222,30.0001
./data/jeu_200_100_4.txt,16248,67818,100466,1782.84,100837,30.0002
./data/jeu_200_100_5.txt,630917,166857,785450,4676.54,780100,30.0002
./data/jeu_200_100_6.txt,3666,29613,39318,1446.88,39831,30.0001
./data/jeu_200_100_7.txt,481702,58948,698701,4525.17,695725,30.0002
./data/jeu_200_100_8.txt,640732,70681,779797,4711.37,782334,30.0002
./data/jeu_200_100_9.txt,400643,53919,627121,5895.14,628847,30.0001
./data/jeu_200_25_10.txt,9826,79761,48241,2440.96,48133,30.0002
./data/jeu_200_25_1.txt,160958,213162,204298,4689.91,204441,30.0002
./data/jeu_200_25_2.txt,222531,245639,239558,5469.08,239558,30.0001
./data/jeu_200_25_4.txt,181629,81018,222361,4845.16,222057,30.0001
./data/jeu_200_25_5.txt,134041,185643,186275,4604.83,187285,30.0001
./data/jeu_200_25_6.txt,27578,112098,79856,3337.38,80109,30.0001
./data/jeu_200_25_7.txt,19962,87793,58857,3674.3,58754,30.0001
./data/jeu_200_25_8.txt,86677,148068,149263,5181.37,149347,30.0001
./data/jeu_200_25_9.txt,13165,80668,49154,2533.34,49003,30.0001
./data/jeu_200_50_10.txt,168719,186481,284391,4154.11,283937,30.0001
./data/jeu_200_50_1.txt,268854,185503,371425,4427.55,370060,30
./data/jeu_200_50_2.txt,108513,119.57,209602,3785.27,211045,30.0002
./data/jeu_200_50_3.txt,96213,39.95,226313,3907.91,225136,30.0002
./data/jeu_200_50_4.txt,99348,120.2,227827,3894.29,228338,30.0001
./data/jeu_200_50_5.txt,450834,288381,479004,4868.87,479431,30.0002
./data/jeu_200_50_6.txt,385413,81297,425341,4841.35,426755,30.0002
./data/jeu_200_50_7.txt,104729,97.29,219673,5888.57,220426,30.0001
./data/jeu_200_50_8.txt,200823,134307,317584,7672.28,317748,30.0001
./data/jeu_200_50_9.txt,21915,79202,103075,5305.31,104430,30.0001
./data/jeu_200_75_10.txt,26729,28566,141435,2633.48,142585,30
./data/jeu_200_75_1.txt,254143,53.5,440355,4350.98,442582,30.0001
./data/jeu_200_75_2.txt,116773,88211,284104,3708.84,286503,30.0001
./data/jeu_200_75_3.txt,8963,28146,60698,1772.88,61924,30
./data/jeu_200_75_4.txt,34352,33804,127858,2463.41,126596,30.0002
./data/jeu_200_75_5.txt,22604,71519,137690,2547.92,137857,30
./data/jeu_200_75_6.txt,62987,68865,229475,3324.43,228789,30.0001
./data/jeu_200_75_7.txt,79978,87722,269314,3616.3,269579,30.0001
./data/jeu_200_75_8.txt,466719,176003,600659,4794.82,598432,30.0001
./data/jeu_200_75_9.txt,377764,64185,514622,4535,516437,30.0002
./data/jeu_300_25_10.txt,246840,111678,382438,15065.7,382041,30.0002
./data/jeu_300_25_1.txt,1703,28426,28980,3656.8,28700,30
./data/jeu_300_25_2.txt,143496,82065,281216,14219.6,281777,30.0004
./data/jeu_300_25_4.txt,335373,232436,442639,16003.9,444257,30.0003
./data/jeu_300_25_5.txt,1646,38483,14556,3163.3,14863,30.0001
./data/jeu_300_25_6.txt,113760,106439,269671,13903.3,269478,30.0004
./data/jeu_300_25_7.txt,411900,162104,483017,16251.5,485232,30.0005
./data/jeu_300_25_8.txt,403,34781,9281,5230.56,9208,30.0003
./data/jeu_300_25_9.txt,110381,90586,249736,14258.1,249769,30.0004
./data/jeu_300_50_10.txt,904968,238022,990620,16791.8,994061,30.0002
./data/jeu_300_50_1.txt,252890,94008,512384,13294.2,512987,30.0001
./data/jeu_300_50_2.txt,23918,51125,105543,6078.99,105543,30.0001
./data/jeu_300_50_3.txt,660377,226219,871234,17235.3,874415,30.0003
./data/jeu_300_50_4.txt,84938,57689,306634,10854.7,305212,30.0002
./data/jeu_300_50_5.txt,456237,145342,726221,15165.9,727451,30.0004
./data/jeu_300_50_6.txt,490828,142199,732880,21721.7,732255,30.0005
