F01,
174771,193167
43726,81949
177780,190142
220045,222008
224260,230009
39495,74161
4140,10153
33991,62251
231149,232754
15514,24710
10392,18339
53135,56525
1400,3702
45121,50131
60609,61494
27247,35692
6415,14657
11057,20185
28374,35325
78259,88113
68618,83712
97937,104480
18622,33459
100463,105876
37012,56383
6565,16080
33885,52487
33413,53807
52747,68480
131463,143594
188657,188657
72552,94694
35598,60356
46416,71912
12039,27543
132575,144921
88722,110704
10319,19417
83682,103531
201090,372021
923757,936641
120155,302800
8256,28973
27907,100837
703481,779201
8017,39831
590191,692418
689717,778361
492818,622107
16715,48107
183543,203418
232834,238843
207097,219722
159583,186025
42318,80109
23582,58754
104398,147170
18230,49003
204451,281306
304726,365839
127762,210176
131166,224751
139251,225369
473959,478963
401862,425883
136931,217763
236334,316534
41630,103438
52066,139839
317112,440630
169341,282781
16392,60985
55607,126145
46164,137690
102600,227583
145676,263331
528288,596190
422007,514676
288060,377821
5731,28495
182105,275059
374257,442681
2535,14777
147757,264458
438367,482506
1804,9208
131981,245159
938870,992645
291127,496857
25242,105543
748684,865442
124054,299649
541172,720702
579960,712408
6794,43295
605729,755370
591676,751153
